epoch,lambda,train_dice_loss_roi,train_dice,train_loss_topo,val_dice,val_iou,val_precision,val_recall,val_cl_break,val_delta_beta0,ratio,topo_scaled
1,0.100,0.8308,0.1758,0.2786,0.1839,0.1014,0.1093,0.6030,75.8,83.4,0.0335,0.0279
2,0.100,0.8280,0.1814,0.1919,0.1896,0.1049,0.1105,0.6959,88.4,64.7,0.0231,0.0192
3,0.100,0.8235,0.1914,0.1373,0.1934,0.1073,0.1140,0.6615,66.7,91.6,0.0166,0.0137
4,0.100,0.8207,0.1983,0.1736,0.2017,0.1124,0.1183,0.7144,72.5,72.0,0.0212,0.0174
5,0.100,0.8166,0.2043,0.1661,0.2145,0.1205,0.1279,0.6993,67.0,94.0,0.0204,0.0166
6,0.100,0.8096,0.2139,0.1274,0.2202,0.1241,0.1287,0.7819,77.8,60.9,0.0158,0.0127
7,0.100,0.8055,0.2193,0.1162,0.2281,0.1291,0.1343,0.7754,70.0,74.0,0.0145,0.0116
8,0.100,0.7974,0.2293,0.2104,0.2421,0.1382,0.1444,0.7706,66.0,75.5,0.0265,0.0210
9,0.100,0.7915,0.2354,0.1075,0.2579,0.1488,0.1562,0.7747,57.4,84.3,0.0136,0.0108
10,0.100,0.7884,0.2448,0.1278,0.2544,0.1463,0.1522,0.7995,62.4,68.1,0.0162,0.0128
11,0.100,0.7839,0.2501,0.1008,0.2595,0.1496,0.1561,0.7922,62.1,72.0,0.0129,0.0101
12,0.100,0.7821,0.2476,0.1402,0.2621,0.1515,0.1572,0.8157,64.5,61.6,0.0179,0.0140
13,0.100,0.7782,0.2526,0.1200,0.2649,0.1534,0.1589,0.8252,69.1,62.5,0.0155,0.0120
14,0.100,0.7748,0.2605,0.1167,0.2729,0.1587,0.1647,0.8250,58.5,68.0,0.0150,0.0117
15,0.100,0.7722,0.2662,0.0796,0.2792,0.1630,0.1693,0.8242,55.8,72.2,0.0103,0.0080
16,0.100,0.7696,0.2752,0.0760,0.2871,0.1686,0.1756,0.8165,50.9,68.7,0.0099,0.0076
17,0.100,0.7688,0.2754,0.0752,0.2945,0.1737,0.1817,0.8090,48.2,70.0,0.0098,0.0075
18,0.100,0.7687,0.2746,0.0828,0.2937,0.1731,0.1804,0.8192,50.5,69.2,0.0107,0.0083
19,0.100,0.7657,0.2800,0.0659,0.2971,0.1755,0.1832,0.8150,46.8,69.5,0.0086,0.0066
20,0.100,0.7665,0.2786,0.0756,0.2953,0.1742,0.1818,0.8163,48.8,69.6,0.0099,0.0076
